"","fulcrum_id","location","species","capture_date","cmr_id","cmr_id_other"
"1","df3838e6-814c-4c39-92f5-483b75950e99",NA,NA,2022-05-04,NA,NA
"2","09ac9d5e-d6f3-40ef-90fc-415c42b79035",NA,NA,2022-05-04,NA,NA
"3","09ac9d5e-d6f3-40ef-90fc-415c42b79035",NA,NA,2022-05-04,NA,NA
"4","df3838e6-814c-4c39-92f5-483b75950e99",NA,NA,2022-05-04,NA,NA
"5","63f99fee-b084-4156-94cc-d1bc21ca8f84",NA,NA,2022-05-04,NA,NA
"6","bcbe47cf-4258-4fea-8262-d40875463aed",NA,NA,2022-05-04,NA,NA
"7","c1dbb01a-7812-4964-b4cb-3c37559f62ee",NA,NA,2022-05-04,NA,NA
"8","acce3415-fa63-47c9-a110-ffd9c4a5b1a4",NA,NA,2022-05-04,NA,NA
"9","caf3adf6-31e6-44fe-a658-f417350dd810",NA,NA,2022-05-04,NA,NA
"10","caf3adf6-31e6-44fe-a658-f417350dd810",NA,NA,2022-05-04,NA,NA
"11","63f99fee-b084-4156-94cc-d1bc21ca8f84",NA,NA,2022-05-04,NA,NA
"12","bcbe47cf-4258-4fea-8262-d40875463aed",NA,NA,2022-05-04,NA,NA
"13","c1dbb01a-7812-4964-b4cb-3c37559f62ee",NA,NA,2022-05-04,NA,NA
"14","acce3415-fa63-47c9-a110-ffd9c4a5b1a4",NA,NA,2022-05-04,NA,NA
"15","9c68adc1-45dc-4600-99cf-96a5728b6e8e",NA,NA,2022-05-04,NA,NA
"16","9c68adc1-45dc-4600-99cf-96a5728b6e8e",NA,NA,2022-05-04,NA,NA
"17","78690712-b6ca-449e-b056-8b7cced70efc",NA,NA,2022-05-05,NA,NA
"18","78690712-b6ca-449e-b056-8b7cced70efc",NA,NA,2022-05-05,NA,NA
"19","9278a4a4-7e7e-4b2c-925b-8fe6459369e4","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"20","79bcecb9-febd-4a36-af00-ca03aa68504d","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"21","79bcecb9-febd-4a36-af00-ca03aa68504d","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"22","9278a4a4-7e7e-4b2c-925b-8fe6459369e4","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"23","dff652e3-3d5a-4f8e-9ac3-825f7a3b0727","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"24","a28a0a3f-9ded-4d9e-a94b-e193f55322b7","Admin Pond","Rana catesbeiana",2022-05-18,"A2",NA
"25","b8dab5e4-b042-46a0-8915-b4a2b5a7cc0b","Admin Pond","Rana catesbeiana",2022-05-18,"A3",NA
"26","d57d7e3a-13e8-420b-8225-605cdd83c87c","Admin Pond","Rana catesbeiana",2022-05-18,"A4",NA
"27","dd43bef5-85d3-4ccc-b614-4a86ce80b0c4","Admin Pond","Rana catesbeiana",2022-05-18,"B2B3",NA
"28","2ff33a28-b8b2-4bbe-9e47-b6e9e398ec10","Admin Pond","Rana catesbeiana",2022-05-18,"B2",NA
"29","49e58964-2321-4f44-b73c-e5175ae1b952","Admin Pond","Rana catesbeiana",2022-05-18,"B3",NA
"30","30dd0083-d964-449f-826c-06be424e5dcc","Admin Pond","Rana catesbeiana",2022-05-18,"B4",NA
"31","f45dd78d-7a41-453a-8e4d-9026756900cc","Admin Pond","Rana catesbeiana",2022-05-18,"A2A3",NA
"32","f5e9f600-3eac-4b65-9857-f80710fc8c49","Admin Pond","Rana catesbeiana",2022-05-18,"A2A4",NA
"33","e3a5765a-8785-4564-bd2a-129ecb7e7dc2","Admin Pond","Rana catesbeiana",2022-05-18,"A3A4",NA
"34","12eeb9b5-5aee-49c2-8d99-42b48c982ad5","Admin Pond","Rana catesbeiana",2022-05-18,"A2B2",NA
"35","fe0cc5f7-d57b-4b63-b95b-d0fd4bb44855","Admin Pond","Rana catesbeiana",2022-05-18,"A2B3",NA
"36","fc52842b-d6d4-4f9b-8d57-8dfa8742b200","Admin Pond","Rana catesbeiana",2022-05-18,"A2B4",NA
"37","a768ee4f-560b-4bd6-b6a3-45fe6c52ffaf","Admin Pond","Rana catesbeiana",2022-05-18,"A3B2",NA
"38","93ed65c4-470f-41b4-86a3-ef532595a753","Admin Pond","Rana catesbeiana",2022-05-18,"A3B3",NA
"39","de26eb8e-30ac-4926-aee6-a5656cb005a0","Admin Pond","Rana pipiens",2022-05-18,"A3",NA
